排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
662,strict895_0625,二级复核,跨大领域老药新用,Glecaprevir,CHEMBL3545363,感染性疾病,Infectious Disease,NQO1,NAD(P)H dehydrogenase [quinone] 1,乳腺癌,breast cancer,实体瘤,25.80953329336255,0.20590423,2,0.1126223360012984,酶/表观遗传生化,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,乳腺癌/宫颈癌或结直肠原位癌；氧化还原/NQO1 高表达模型,机制审计：低优先级可审。NQO1 是氧化还原酶和部分肿瘤高表达标志，酶学可测但 child OT 疾病分数低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 breast cancer（score=0.113）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,NQO1 DCIP/menadione 还原酶活、NAD(P)H 竞争和 NQO1-high/low 等基因背景细胞对比。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=breast cancer(0.113), ConPLEx=0.206/rank2; literature_status=unreported_in_pubmed_pair_audit. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
663,strict895_0598,二级复核,跨大领域老药新用,Ulipristal Acetate,CHEMBL2103846,内分泌/代谢,Endocrinology/Metabolic,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",心律失常,cardiac arrhythmia,心血管,25.700420506191957,0.25298077,61,0.0101326476826055,酶/表观遗传生化,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,心衰/血管重塑或肺血管模型；当前心律失常 Open Targets 证据很弱,机制审计：低优先级可审。PDE5A 调控 cGMP/血管张力，心衰或肺血管模型能讲通，但本行 child OT 心律失常证据很弱。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 cardiac arrhythmia（score=0.010）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,PDE5A cGMP 水解酶活 IC50、cGMP 细胞积累和血管平滑肌功能 readout。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=cardiac arrhythmia(0.010), ConPLEx=0.253/rank61; literature_status=unreported_in_pubmed_pair_audit. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
664,strict895_0105,二级复核,跨大领域老药新用,Doravirine And Islatravir,CHEMBL2364608,感染性疾病,Infectious Disease,NR3C2,Mineralocorticoid receptor,结直肠癌,colorectal cancer,实体瘤,25.650544666796904,0.41378695,26,0.0299475703761588,核受体/转录因子 reporter,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,NR3C2 相关结直肠/乳腺/甲状腺肿瘤仅作探索；不作为首要适应症,机制较弱/待审：NR3C2 相关 biology 可测，但NR3C2 相关结直肠/乳腺/甲状腺肿瘤仅作探索的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,NR3C2 ligand-binding TR-FRET/SPR/DSF；全长受体 reporter 与内源靶基因 qPCR/RNA-seq，加入受体 knockdown/rescue。,GR/PR/ER/AR/MR/FXR 等核受体交叉 reporter、luciferase 干扰、广谱转录抑制、细胞毒性 counterscreen。,盐皮质激素受体到肿瘤的机制弱于心肾方向，且组合药 reporter 极易受广谱转录和核受体串扰影响。
665,strict895_0452,二级复核,跨大领域老药新用,Alpelisib,CHEMBL2396661,肿瘤,Oncology,SCN5A,Sodium channel protein type 5 subunit alpha,心律失常,cardiac arrhythmia,心血管,25.613769619093326,0.2411681,69,0.7863374052930366,离子通道功能,review_low,高,否,否,否,上市前或窗口外报道,1,0,29563327,,SCN5A介导的心律失常、传导阻滞和药源性QRS/QT安全性模型,机制偏弱：SCN5A更像Alpelisib潜在心脏安全性离子通道反筛，而非明确治疗性老药新用；rank69降低可信度。,中：Nav1.5膜片钳可做，但成本高且阳性多代表安全风险；需心肌MEA确认。,SCN5A 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,疾病具体性可落到传导异常，但更适合作安全性off-target审计，不宜作为优先治疗候选。
666,strict895_0831,二级复核,同领域新靶点/新病种探索,Fludarabine Phosphate,CHEMBL1096882,肿瘤,Oncology,PNP,Purine nucleoside phosphorylase,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,25.53342110962612,0.56906676,11,0.0237076048722718,酶/表观遗传生化,review_low,high,是,否,否,上市后文献有新靶点线索,36,26,42171604;40221395;36253876,42171604;40221395;36253876,"仅低优先探索胰腺导管腺癌、多发性骨髓瘤、胰腺癌；child OT 最强指向急性髓系白血病（score=0.024, genetic=0.000, clinical=0.000, literature=0.195），疾病锚点偏弱。","机制偏弱：Fludarabine Phosphate -> PNP（Purine nucleoside phosphorylase）在肿瘤方向可通过纯化蛋白/酶活或结合验证；child OT 最强指向急性髓系白血病（score=0.024, genetic=0.000, clinical=0.000, literature=0.195）；ConPLEx=0.569/rank11。 主要限制：child OT 病种证据很弱；novelty 受原适应症/同类药机制影响。",中低：输入 disease fit=高、TE feasibility=高；可从纯化蛋白结合/酶活和细胞 TE 两级验证；病种端证据不足，疾病模型不宜提前扩展。,PNP 纯化蛋白活性或结合 assay（IC50/Kd、DSF/SPR/CETSA）；细胞层面加入目标通路 readout，并在胰腺导管腺癌模型中验证剂量依赖。,同酶/同受体家族选择性、底物竞争、螯合/还原/荧光干扰、细胞通路旁路验证；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,低优先复核：可以做 TE，但疾病锚点、rank 或直接性不足；child OT score <0.10；novelty 偏弱。
667,strict895_0189,二级复核,跨大领域老药新用,Alpelisib,CHEMBL2396661,肿瘤,Oncology,SLC29A1,Equilibrative nucleoside transporter 1,,,实体瘤,25.444338533333337,0.35952154,30,0.0,转运体摄取/外排,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,缺血/缺氧心肌保护、动脉粥样硬化或扩张型心肌病中的腺苷/核苷转运模型,SLC29A1/ENT1 影响腺苷和核苷通量，可影响缺血保护、炎症和血管重塑；需要区分转运抑制与细胞暴露改变。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,SLC29A1 过表达细胞测 腺苷/尿苷 摄取/外排（LC-MS、放射性或荧光底物），空载体、已知抑制剂和剂量反应并行。,同家族转运体、P-gp/BCRP、底物荧光/放射性干扰、细胞内暴露和细胞毒性反筛。,"SLC29A1 心血管假说可测，但 Alpelisib rank 偏后且 PI3K/cytostatic 效应容易解释表型。 评分：ConPLEx=0.360, rank=30, OT=0.60, TxGNN=0.97, CREEDS=5；文献未审计。"
668,strict895_0624,二级复核,同领域同靶点家族扩展,Bosutinib Monohydrate,CHEMBL2095206,肿瘤,Oncology,FLT1,Vascular endothelial growth factor receptor 1,慢性肾病,chronic kidney disease,肾脏,25.29146653472128,0.38083833,39,0.0378819763579827,酶/表观遗传生化,review_low,中高,是,是,否,PubMed pair审计未见明确报道,0,0,,,结直肠癌血管生成模型；蛋白尿性 CKD/肾小球内皮损伤仅作低优先级探索,机制审计：低优先级可审。FLT1/VEGFR1 与血管生成和内皮功能相关，实体瘤血管生成故事合理但 child OT 具体疾病分数很低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 chronic kidney disease（score=0.038）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,FLT1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=chronic kidney disease(0.038), ConPLEx=0.381/rank39; literature_status=unreported_in_pubmed_pair_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
669,strict895_0283,二级复核,跨大领域老药新用,Acyclovir,CHEMBL1200380,感染性疾病,Infectious Disease,PRKCE,Protein kinase C epsilon type,乳腺癌,breast carcinoma,实体瘤,25.282280580868065,0.20049843,29,0.05595646729784,激酶生化/细胞,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,少突胶质细胞瘤及 PKCepsilon 依赖肿瘤信号模型,机制审计：可审但降为低优先级。PRKCE 可连接 PKC-MAPK/存活信号与胶质瘤，但条目证据主要是低分预测。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,PRKCE 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.200/rank29；literature_status=unreported_in_pubmed_pair_audit；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
670,strict895_0265,二级复核,跨大领域老药新用,Imiquimod,CHEMBL1282,肿瘤,Oncology,CCND1,G1/S-specific cyclin-D1,乳腺癌,breast carcinoma,实体瘤,25.178809466692798,0.25992674,23,0.5947657007419023,酶/表观遗传生化,review_low,high,否,否,否,上市后文献有新靶点线索,2,2,41159043;38532341,41159043;38532341,银屑病/特应性皮炎中角质形成细胞增殖模型；CCND1 仅作下游读数,CCND1 是细胞周期下游节点而非理想直接结合靶点，任何表型都需警惕增殖抑制或毒性解释。,中低：可做 reporter/通路 readout，但直接 engagement 和特异归因弱，必须加正交验证。,不建议作为单一直接 target assay；若保留，仅检测 CCND1 蛋白/转录、CDK4/6-RB 轴和细胞周期分布的剂量关系。,CDK4/6-RB 轴、全局细胞周期阻滞、DNA 损伤、细胞毒性和转录抑制反筛；避免把下游变化当直接结合。,"Imiquimod 皮肤病相关但 CCND1 是下游增殖 readout，需作为表型线索而非直接靶点。 评分：ConPLEx=0.260, rank=23, OT=0.65, TxGNN=0.99, CREEDS=4；文献未审计。"
671,strict895_0883,二级复核,同领域同靶点家族扩展,Larotrectinib Sulfate,CHEMBL3989939,肿瘤,Oncology,AKT3,RAC-gamma serine/threonine-protein kinase,乳腺癌,breast carcinoma,实体瘤,25.092777087773285,0.4692212,52,0.2012942705677015,激酶生化/细胞,review_low,high,是,是,否,上市后文献有新靶点线索,1,1,39014476,39014476,"可探索宫颈癌、慢性髓系白血病，并用乳腺癌作为 child OT 锚点；child OT 最强指向乳腺癌（score=0.201, genetic=0.000, clinical=0.000, literature=0.509）。","机制偏弱：Larotrectinib Sulfate -> AKT3（RAC-gamma serine/threonine-protein kinase）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向乳腺癌（score=0.201, genetic=0.000, clinical=0.000, literature=0.509）；ConPLEx=0.469/rank52。 主要限制：drug-target rank 偏后；novelty 受原适应症/同类药机制影响。",中低：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,AKT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在乳腺癌模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,低优先复核：可以做 TE，但疾病锚点、rank 或直接性不足；ConPLEx rank 偏后；novelty 偏弱。
672,strict895_0264,二级复核,跨领域但同靶点家族扩展,Dexamethasone,CHEMBL1697787,内分泌/代谢,Endocrinology/Metabolic,RXRA,Retinoic acid receptor RXR-alpha,银屑病,psoriasis,皮肤/免疫,25.04756405457104,0.3474024,11,0.5852793505735276,核受体/转录因子 reporter,review_low,high,否,是,否,上市后文献有新靶点线索,23,11,38078989;35483561;35196318,38078989;35483561;35196318,银屑病、特应性皮炎或角化异常中的 RXRA/视黄酸分化模型,RXRA 调节视黄酸/核受体分化信号，皮肤方向合理但 GR/核受体串扰风险高。,中低：可做 reporter/通路 readout，但直接 engagement 和特异归因弱，必须加正交验证。,RXRA reporter assay 与内源靶基因 qPCR/Western 并行；可加 CETSA/thermal shift 或 ligand-binding 作为正交 engagement。,luciferase/荧光干扰、广谱转录抑制、相关核受体或 HIF/TP53 reporter panel、细胞毒性反筛。,"RXRA 皮肤分化方向合理，但 Dexamethasone 广谱 GR 效应和核受体串扰会严重混杂。 评分：ConPLEx=0.347, rank=11, OT=0.73, TxGNN=0.88, CREEDS=3；同家族风险；文献未审计。"
673,strict895_0545,二级复核,同领域同靶点家族扩展,Pazopanib Hydrochloride,CHEMBL477772,肿瘤,Oncology,FLT1,Vascular endothelial growth factor receptor 1,慢性肾病,chronic kidney disease,肾脏,24.85234446805461,0.90921754,6,0.0378819763579827,酶/表观遗传生化,review_low,中高,是,是,否,上市后文献有新靶点线索,12,11,39173673;37172939;32567826,39173673;37172939;32567826,结直肠癌血管生成模型；蛋白尿性 CKD/肾小球内皮损伤仅作低优先级探索,机制审计：低优先级可审。FLT1/VEGFR1 与血管生成和内皮功能相关，实体瘤血管生成故事合理但 child OT 具体疾病分数很低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 chronic kidney disease（score=0.038）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,FLT1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=chronic kidney disease(0.038), ConPLEx=0.909/rank6; literature_status=reported_post_approval_old_drug_new_target. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
674,strict895_0479,二级复核,跨领域但同靶点家族扩展,Dexamethasone,CHEMBL1697787,内分泌/代谢,Endocrinology/Metabolic,RARG,Retinoic acid receptor gamma,银屑病,psoriasis,皮肤/免疫,24.68955980678747,0.33705848,12,0.5908221069683322,核受体/转录因子 reporter,review_low,高,否,是,否,上市后文献有新靶点线索,2,1,26891836;18438858,26891836,RARγ介导银屑病、痤疮和角质形成细胞分化异常模型,机制偏弱：RARG与皮肤分化相关，但Dexamethasone皮肤抗炎为已知同方向，GR效应会强烈混杂。,中高：RARγ结合/报告可行；需核受体panel确认选择性。,RARγ配体结合TR-FRET/DSF和RARE-luciferase报告基因，角质形成细胞分化readout作功能验证。,RARA/RARB、RXR、GR/MR/PR等核受体panel，糖皮质激素转录效应和细胞毒性反筛。,不优先；若验证，应先做RARγ直接结合并排除GR。
675,strict895_0164,二级复核,跨大领域老药新用,Hydrocortisone,CHEMBL2106309,肿瘤,Oncology,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D",骨质疏松,osteoporosis,免疫/炎症,24.65741370717658,0.2983762,11,0.0029566388374776,酶/表观遗传生化,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,PDE4D/cAMP 相关肌病炎症或骨/软骨炎症模型,机制较弱/待审：PDE4D 相关 biology 可测，但PDE4D/cAMP 相关肌病炎症或骨/软骨炎症模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,PDE4D cAMP-Glo/HTRF 酶活 IC50；细胞内 cAMP、pCREB 和 PDE4 isoform selectivity。,同酶家族选择性、荧光/吸收干扰、金属螯合/还原性、聚集体/PAINS、细胞毒性 counterscreen。,PDE4D 可解释炎症，但 Hydrocortisone 已有强 GR 抗炎作用；target-specific novelty 弱。
676,strict895_0851,二级复核,跨领域但同靶点家族扩展,Dexamethasone,CHEMBL1697787,内分泌/代谢,Endocrinology/Metabolic,VDR,Vitamin D3 receptor,银屑病,psoriasis,皮肤/免疫,24.59779085029821,0.31743908,16,0.6274355755688095,核受体/转录因子 reporter,review_low,high,否,是,否,上市后文献有新靶点线索,43,34,41371564;40573079;39864489,41371564;40573079;39864489,"优先聚焦银屑病；备选模型为银屑病/特应性皮炎/角化异常待定。child OT 最强指向银屑病（score=0.627, genetic=0.000, clinical=0.989, literature=0.869）。","机制偏弱：Dexamethasone -> VDR（Vitamin D3 receptor）在皮肤方向可通过核受体/转录 reporter验证；child OT 最强指向银屑病（score=0.627, genetic=0.000, clinical=0.989, literature=0.869）；ConPLEx=0.317/rank16。",中低：输入 disease fit=中、TE feasibility=中高；reporter、cofactor 和 CETSA 可做，但要排除广谱转录/荧光素酶干扰。,VDR ligand-binding/cofactor recruitment、CETSA/NanoBRET 和响应元件 reporter；同步 qPCR 检测经典下游靶基因，并在银屑病模型确认方向。,同家族核受体 panel、无响应元件/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制/激活；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,低优先复核：可以做 TE，但疾病锚点、rank 或直接性不足；child OT score >=0.55；reporter 需强反筛。
677,strict895_0635,二级复核,同领域新靶点/新病种探索,Belinostat,CHEMBL408513,肿瘤,Oncology,BCL2,Apoptosis regulator Bcl-2,B细胞慢性淋巴细胞白血病,B-cell chronic lymphocytic leukemia,血液肿瘤/血液病,24.570611943142886,0.21893528,36,0.7416429130285728,离子通道功能,review_low,high,是,否,否,上市后文献有新靶点线索,6,5,38654286;34530384;33598678,38654286;34530384;33598678,BCL2 依赖 CLL；AML；BCL2 依赖淋巴瘤,"child Open Targets 最佳疾病为 B-cell chronic lymphocytic leukemia，score=0.742（genetic=0.762, clinical=0.966, literature=0.973），BCL2-疾病证据为较强。Belinostat→BCL2 主要由 ConPLEx=0.219/rank=36 支撑；BCL2-CLL 疾病证据强，但 Belinostat-BCL2 ConPLEx 低、rank 靠后且 assay lane 不理想。","原始 target-engagement 可行性=中; assay lane=ion channel functional; ConPLEx=0.219, rank=36; 自动优先级=P2_review_candidate. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：BCL2 自动膜片钳或通量/膜电位 readout；在 BCL2 依赖 CLL 相关细胞中确认剂量依赖和可逆性。,hERG/SCN5A 安全性、细胞毒性、膜扰动、非特异离子通道 panel；加入 BCL2 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别加入 hERG、SCN5A 和膜扰动安全性面板。,BCL2-CLL 疾病证据强，但 Belinostat-BCL2 ConPLEx 低、rank 靠后且 assay lane 不理想。 child_ot_status=child_ot_match; best_child=B-cell chronic lymphocytic leukemia; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱
678,strict895_0679,二级复核,同领域同靶点家族扩展,Ribociclib Succinate,CHEMBL3545110,肿瘤,Oncology,CCND1,G1/S-specific cyclin-D1,乳腺癌,breast cancer,实体瘤,24.328043082050698,0.35835406,28,0.663919419942994,酶/表观遗传生化,review_low,high,是,是,否,上市后文献有新靶点线索,17,17,42180098;41640445;41372771,42180098;41640445;41372771,CCND1 扩增/细胞周期依赖乳腺癌；胰腺导管腺癌和肺癌探索,"child Open Targets 最佳疾病为 breast cancer，score=0.664（genetic=0.415, clinical=0.967, literature=0.980），CCND1-疾病证据为较强。Ribociclib Succinate→CCND1 主要由 ConPLEx=0.358/rank=28 支撑；CCND1 disease evidence 强，但 Ribociclib 已处于 CDK4/6-CCND1 轴，机制 novelty 低且直接靶点验证困难。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.358, rank=28; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：CCND1 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 CCND1 扩增/细胞周期依赖乳腺癌 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 CCND1 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,CCND1 disease evidence 强，但 Ribociclib 已处于 CDK4/6-CCND1 轴，机制 novelty 低且直接靶点验证困难。 child_ot_status=child_ot_match; best_child=breast cancer; novelty=同靶点家族机制扩展，novelty 中等; major_risks=靶点更偏通路/转录调控，直接小分子结合验证难度较高；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
679,strict895_0867,二级复核,跨领域但同靶点家族扩展,Alpelisib,CHEMBL2396661,肿瘤,Oncology,VKORC1,Vitamin K epoxide reductase complex subunit 1,动脉粥样硬化,atherosclerosis,心血管,24.32278007577196,0.25235352,64,0.2613162581824576,酶/表观遗传生化,review_low,high,否,是,否,PubMed pair审计未见明确报道,0,0,,,"可探索动脉粥样硬化、急性心肌梗死、移植心脏并发症，并用动脉粥样硬化作为 child OT 锚点；child OT 最强指向动脉粥样硬化（score=0.261, genetic=0.000, clinical=0.426, literature=0.086）。","机制偏弱：Alpelisib -> VKORC1（Vitamin K epoxide reductase complex subunit 1）在心血管方向可通过纯化蛋白/酶活或结合验证；child OT 最强指向动脉粥样硬化（score=0.261, genetic=0.000, clinical=0.426, literature=0.086）；ConPLEx=0.252/rank64。 主要限制：drug-target rank 偏后。",中低：输入 disease fit=高、TE feasibility=中高；可从纯化蛋白结合/酶活和细胞 TE 两级验证。,VKORC1 纯化蛋白活性或结合 assay（IC50/Kd、DSF/SPR/CETSA）；细胞层面加入目标通路 readout，并在动脉粥样硬化模型中验证剂量依赖。,同酶/同受体家族选择性、底物竞争、螯合/还原/荧光干扰、细胞通路旁路验证；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,低优先复核：可以做 TE，但疾病锚点、rank 或直接性不足；ConPLEx rank 偏后。
680,strict895_0697,二级复核,同领域同靶点家族扩展,Capmatinib Hydrochloride,CHEMBL3989937,肿瘤,Oncology,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",乳腺癌,breast cancer,实体瘤,24.097077822924767,0.3825127,2,0.114658599537397,酶/表观遗传生化,review_low,high,是,是,否,PubMed pair审计未见明确报道,0,0,,,TXNRD1 相关乳腺癌、宫颈癌或视网膜母细胞瘤探索,"child Open Targets 最佳疾病为 breast cancer，score=0.115（genetic=0.000, clinical=0.122, literature=0.791），TXNRD1-疾病证据为弱。Capmatinib Hydrochloride→TXNRD1 主要由 ConPLEx=0.383/rank=2 支撑；TXNRD1 有文献信号且 rank=2，但 child OT 综合分低，需低成本确认。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.383, rank=2; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：TXNRD1 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 TXNRD1 相关乳腺癌、宫颈癌或视网膜母细胞瘤探索 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 TXNRD1 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,TXNRD1 有文献信号且 rank=2，但 child OT 综合分低，需低成本确认。 child_ot_status=child_ot_match; best_child=breast cancer; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
681,strict895_0539,二级复核,同领域新靶点/新病种探索,Selinexor,CHEMBL3545185,肿瘤,Oncology,FLT4,Vascular endothelial growth factor receptor 3,乳腺癌,breast carcinoma,实体瘤,24.046725774938785,0.2056647,11,0.3014388048120942,酶/表观遗传生化,review_low,高,是,否,否,PubMed pair审计未见明确报道,0,0,,,VEGFR3/FLT4淋巴管生成相关肿瘤转移和CML模型,机制中等偏弱：FLT4肿瘤淋巴管生成机制清楚，但Selinexor同为肿瘤药且ConPLEx低，XPO1效应混杂。,中高：FLT4 kinase/readout可行；需与XPO1细胞毒性分开。,VEGFR3/FLT4激酶IC50/Kd，淋巴内皮细胞VEGF-C诱导pFLT4/pERK readout。,VEGFR1/2、PDGFR、KIT和广谱kinase panel，内皮毒性和抗血管生成共通效应反筛。,低优先；只有明确FLT4生化活性才继续。
682,strict895_0787,二级复核,跨大领域老药新用,Dalfampridine,CHEMBL284348,心血管,Cardiovascular,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",黑色素瘤,melanoma,实体瘤,23.928571759212247,0.22364697,78,0.1255576218909147,酶/表观遗传生化,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,黑色素瘤；银屑病；原位黑色素瘤,预测 Dalfampridine 作用于 TYRP1，疾病锚点为黑色素瘤；银屑病；原位黑色素瘤。child OT 状态=child_ot_match，最佳 child disease=黑色素瘤，总分0.126（遗传0.000/临床0.076/文献0.938）。PubMed pair审计未见明确报道，详见PubMed计数/PMID列。,TE 可行性原评估为中高，建议使用酶学/结合路线；ConPLEx=0.224、药内rank=78。只建议低优先复核，不应进入主筛。主要限制：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。,重组蛋白酶活/底物转换或结合实验；细胞 CETSA/TPP 与下游通路 readout；阳性后再做疾病模型。,同家族酶/近邻靶点反筛、母药主机制反筛、蛋白聚集/PAINS、细胞毒性和底物干扰。,TYRP1-黑色素瘤主要靠文献，Dalfampridine ConPLEx 低且疾病从 MS 转肿瘤跨度大，低优先。 审计依据：ConPLEx=0.224/rank=78；best_child=黑色素瘤(OT=0.126)；literature_status=unreported_in_pubmed_pair_audit。
