排序,小分子药物名称,新靶点名称,当前实验建议,需先确认的事项,评价理由,pair_id,A药内排名_384,B药内排名_384,共识Top20组合,至少一个AB药内Top20,安排复核建议_未更改实验表
230,pilocarpine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,11B1/11B2产物及构建分清；不可由11B2结合推降皮质醇。,匹罗卡品–CYP11B2的Cushing标签与醛固酮功能不直接对应。,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,39,1,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
231,idelalisib,HDAC11 — Histone deacetylase 11,先解决具体问题,查本地最近邻是否加锌结合基团，确认后测纯母药HDAC11功能及结合。,idelalisib–HDAC11需核高相似近邻是否新增HDAC药效团，先解决计算支持来源；不能据衍生物判断母药阴性。,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,183,173,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
232,betrixaban,F7 — Coagulation factor VII,先解决具体问题,核活性F7a及参考体系，优先纯酶活；若确有作用，按脱靶机制而非自动新适应症推进。,betrixaban–F7先明确F7a构建及Glanzmann疾病节点方向，抗凝不能自动当血小板无力症治疗。,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,288,371,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
233,tedizolid,NTRK2 — BDNF/NT-3 growth factors receptor,先解决具体问题,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。,tedizolid–NTRK2先查20µM旧panel是否覆盖TrkB，不能把未明确靶点的广谱阴性当本对阴性。,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,284,104,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
234,clascoterone,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,确认酯母体未以代谢物替代，测含血红素酶的结合与代谢/抑制功能。,clascoterone–CYP17A1先确认酯母药未被代谢物替代，并丢弃galeterone错配数据。,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,262,145,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
235,levamlodipine,DHFR — Dihydrofolate reductase,先解决具体问题,先核左旋实体与人DHFR辅因子体系，酶活阳性再SPR复测。,levamlodipine–DHFR需明确左旋实体及人源而非微生物酶，身份匹配后可酶学探索。,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,69,159,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
236,acetaminophen,MIF — Macrophage migration inhibitory factor,先解决具体问题,先查母药自身直接对照结果；若只支持代谢物，不以母药占首批资源。,acetaminophen–MIF目前文献支持NAPQI/bi-APAP而非母药，需核母药对照；代谢物阳性不证明母药不能结合。,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,142,30,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
237,gemcitabine,DNMT1 — DNA (cytosine-5)-methyltransferase 1,先解决具体问题,查原酶种、DNA及代谢体条件；明确机制确认还是新结合。,吉西他滨已有重组DNMT酶学线索，应先核实是否恰为本DNMT1构建，不能继续无条件称新关系。,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,99,228,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
238,pilocarpine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,11B1/11B2功能体系测通再测候选。,匹罗卡品–CYP11B1需先确认血红素及参考物，其他CYP数据不能替代。,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,44,2,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
239,thalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,核近邻是哪一端识别HDAC2，纯母药酶活可靠后再SPR。,thalidomide–HDAC2需核PROTAC中真正识别HDAC的端点和近邻结构，再决定母药探索。,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,45,134,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
240,etonogestrel,ESR2 — Estrogen receptor beta,先解决具体问题,若要测需明确ESR2与参照，区分PR作用和ER功能方向。,etonogestrel–ESR2本地旧ER无亲和记录亚型不明，应先核ESR2及条件，不以混合ER信息硬降级。,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,127,73,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
241,bictegravir,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,先确认EZH2/PRC2构建和参考抑制剂活性，SPR后用甲基转移活性确认。,bictegravir–EZH2先落实PRC2复合物及活性构建，不能让单蛋白和功能体系混用。,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,69,216,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
242,baricitinib,HDAC1 — Histone deacetylase 1,先解决具体问题,先核查关键HDAC药效团，采用活性复合物酶学；只有母药出现独立效应才做SPR梯度。,baricitinib–HDAC1近邻为JAK/HDAC拼接物，先核母药活性复合物读出；失去近邻支持不等于母药阴性。,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,231,253,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
243,articaine,MME — Neprilysin,先解决具体问题,确认纯articaine身份及稳定性，先用MME酶活筛查；无直接效应则后置。,articaine–MME需确认纯母药而非含肾上腺素牙科制剂及稳定性，实体合格后仍可探索。,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,165,273,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
244,oxycodone,CA2 — Carbonic anhydrase 2,先解决具体问题,查邻居身份、浓度和端点；可在成熟CA2体系小筛。,羟考酮–CA2较近阴性邻居值得回查，但不能把邻居阴性当本药阴性。,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,10,11,A和B均在Top20,True,分清操作前提与证据不足；逐项确认后安排
245,bempedoic acid,MMP3 — Stromelysin-1,先解决具体问题,核对实际受测为母体；检查溶解度、金属依赖及MMP3活性，出现特异效应再升级。,bempedoic acid–MMP3先明确母体而非CoA活化形式并检查金属效应，不用降脂机制替母药背书。,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,145,312,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
246,olmesartan,MME — Neprilysin,先解决具体问题,按活性体核对采购/配液；前药独立编号。,奥美沙坦模型是活性体，常见药品为酯前药，实物不匹配会使实验失去对应性。,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,77,4,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
247,duvelisib,HDAC11 — Histone deacetylase 11,先解决具体问题,先核近邻结构有无新增HDAC药效团，再测纯母药酶活及结合。,duvelisib–HDAC11先核近邻HDAC药效团和母药端点，衍生物证据不可迁移但也不是反证。,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,313,335,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
248,nilotinib,GART — Trifunctional purine biosynthetic protein adenosine-3,先解决具体问题,先确认预测对应GART哪一催化域及可溶浓度，酶活有支持再测结合。,nilotinib–GART先解决多功能域定位与实际可溶浓度，阴性近邻相似不能直接断言无作用。,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,321,315,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
249,landiolol,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,先核药物稳定性和血红素构建；对照可靠后才追加。,landiolol–CYP26A1先核溶液稳定性与血红素构建，确保实际测的是可用母药和活性体系。,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,173,126,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
250,rilpivirine,YES1 — Tyrosine-protein kinase Yes,先解决具体问题,先查原始激酶panel的YES1列和浓度，缺失时再直接结合/酶活。,rilpivirine–YES1需先查已知激酶panel的YES1列，避免把AURKA结果外推或重复现有测量。,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,121,98,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
251,capmatinib,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,确认PRC2/催化构建和甲基转移酶活性，结合阳性后区分MET间接影响。,capmatinib–EZH2联用文章并非双靶点证明，先确认PRC2活性构建再测母药。,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,302,362,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
252,bempedoic acid,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,先解决具体问题,除非有独立HMGCR酶学/结合证据，不以降脂疗效作为SPR支持；核对物种、构建和受测形式。,bempedoic acid–HMGCR的ACLY下游通路和CoA形式需分清，错误支持应移除但不构成母药直接阴性。,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,150,180,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
253,thalidomide,HDAC11 — Histone deacetylase 11,先解决具体问题,确认专用底物及参考物，随后可探索母药。,沙利度胺–HDAC11需要适配去长链酰化读出，CRBN衍生物不是母药证据。,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,33,190,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
254,nicotine,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,只测试身份浓度明确的纯尼古丁，不把树脂制剂直接注入。,尼古丁树脂制剂名称与MW162小分子模型不一致，是明确的实物/模型对应问题。,SNICXCGAKADSCV-JTQLQIEISA-N__CHEMBL4523510,101,242,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
255,hydroxychloroquine,CTSC — Dipeptidyl peptidase 1,先解决具体问题,成熟CTSC/CTSL并行且控制pH，确认直接作用。,羟氯喹CTSL资料不能移给CTSC，溶酶体pH与成熟加工可能造成间接结果。,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,196,26,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
256,paroxetine,MAOB — Amine oxidase [flavin-containing] B,先解决具体问题,核论文paroxetine对应MAOB数值、物种与浓度；若弱效则后置，若可靠直接作用则作为机制确认。,paroxetine–MAOB已定位可能含本药的原始酶研究，需核原表数值与物种，避免重复或误报新关系。,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,124,114,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
257,lenalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,核近邻结构和母药酶活，避免将蛋白互作或衍生物当结合。,lenalidomide–HDAC2需核近邻和母药端点；CRBN/HDAC网络或联用不是直接作用，也不是反证。,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,150,16,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
258,ranolazine,IGF1R — Insulin-like growth factor 1 receptor,先解决具体问题,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。,ranolazine–IGF1R先明确胞外域还是激酶域，否则结合结果不能回答同一个预测问题。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,197,85,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
259,nimodipine,F7 — Coagulation factor VII,先解决具体问题,先明确F7a而非酶原体系，对照未通过不投入候选。,nimodipine–F7病例共现非结合；必须先明确活性F7a还是酶原，避免测量对象错位。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,114,216,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
260,articaine,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,补尿酸生成等不依赖ROS读出的酶活，再验证匹配人XDH/XO结合。,articaine–XDH的ROS下降可能为清除效应，先换不依赖ROS的尿酸生成读出解决机制歧义。,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,134,222,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
261,pemigatinib,CDK9 — Cyclin-dependent kinase 9,先解决具体问题,用CDK9/cyclin匹配构建与酶活，阳性后再评病毒与宿主效应。,pemigatinib–CDK9要先明确CDK9/cyclin活性构建；HIV功能方向可在直接作用后再辨。,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,338,337,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
262,rilpivirine,FYN — Tyrosine-protein kinase Fyn,先解决具体问题,先追已发现原药激酶panel，缺FYN时才配合YES1验证，避免两对都作独立强证据。,rilpivirine–FYN先追已有激酶panel覆盖，与YES1共用审计但不相互代证。,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,90,129,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
263,teriflunomide,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,确认模型是teriflunomide而非leflunomide，核XDH/XO状态，直接酶活后再SPR。,teriflunomide–XDH需确认不是leflunomide实体并明确XO/XDH状态，匹配后可探索。,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,11,2,A和B均在Top20,True,分清操作前提与证据不足；逐项确认后安排
264,baricitinib,HDAC11 — Histone deacetylase 11,先解决具体问题,先用匹配长链去酰化读出和活性HDAC11体系检测母药，不能以普通去乙酰化阴性/阳性替代。,baricitinib–HDAC11先核拼接物近邻并使用长链去酰化读出，普通去乙酰化不能代替HDAC11功能。,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,346,257,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
265,dabrafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",先解决具体问题,确认PI3Kα构建/突变、直接酶活与结合，若仅细胞间接变化不升级。,dabrafenib–PIK3CA耐药突变研究非直接结合，先核工作液及PI3Kα构建，避免理化因素歪曲读数。,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,372,277,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
266,ruxolitinib,HDAC11 — Histone deacetylase 11,先解决具体问题,查最近邻是否新增HDAC锌结合端，纯母药酶活阳性后再投入SPR。,ruxolitinib–HDAC11先核混合药效团近邻来源，ruxolitinib/vorinostat衍生物不能代替母药，但不证明母药阴性。,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,363,289,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
267,alvimopan,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,只有含所需辅因子的EGLN3体系成熟时再侦察，并补羟化酶功能。,alvimopan–EGLN3要先确认所需辅因子及羟化酶活性；原机制差异不构成反对。,UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,154,6,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
268,retapamulin,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,先解决具体问题,实测可溶浓度、合格FKBP对照及非特异吸附。,瑞他莫林–FKBP12记录中预测疏水性高且构建待定，需解决可解释测定条件。,STZYTFJPGGDRJD-NHUWBDDWSA-N__CHEMBL1902,3,35,仅A在Top20,True,分清操作前提与证据不足；逐项确认后安排
269,pomalidomide,HDAC11 — Histone deacetylase 11,先解决具体问题,固定母药，专用去酰化功能和对照测通后可测。,泊马度胺–HDAC11合用/衍生物证据需去除，另须用HDAC11适配底物。,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL3310,44,243,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
270,brivaracetam,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,胆固醇转化读数和参考物测通。,布立西坦–CYP46A1需先确认含血红素活性酶，SV2A原机制不是反对。,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL4523510,249,99,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
271,meropenem,MMP7 — Matrilysin,先解决具体问题,记录稳定性和成熟MMP7对照，合格可测。,美罗培南–MMP7需核查测定期间母药稳定性，否则难区分降解效应。,DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073,180,290,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
272,mirdametinib,HDAC11 — Histone deacetylase 11,先解决具体问题,专用底物及参考物合格再测母药。,米达美替尼–HDAC11首要是用正确去长链酰化端点，普通去乙酰化可能误判。,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL3310,21,112,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
273,esmolol,CA7 — Carbonic anhydrase 7,先解决具体问题,先确认化合物在实验缓冲液中的稳定性，用CA7酶活与阳性对照验证；初步支持后再配置浓度梯度SPR。,esmolol–CA7先核母药缓冲液稳定性，以确保测量实体明确，而不是因无文献拒绝。,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,2,3,A和B均在Top20,True,分清操作前提与证据不足；逐项确认后安排
274,ivabradine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,先使CYP11B2产物及参考物响应测通，再解释候选。,伊伐布雷定–CYP11B2的实际阻碍是活性构建和电子供体/对照未确认。,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,226,16,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
275,epinephrine,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,记录样品稳定性与纯酶干扰，区分氧化产物。,肾上腺素–FAAH需先解决儿茶酚氧化干扰，咽炎节点不提供方向。,UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243,363,369,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
276,eltrombopag,LCK — Tyrosine-protein kinase Lck,先解决具体问题,定义预期免疫作用方向；若仅做结合侦察，可与疾病疗效脱钩。,艾曲泊帕–LCK用于HIV的价值需先区分血小板支持与抗感染，尚无LCK直接阴性。,XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258,63,55,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
277,vorapaxar,DPP4 — Dipeptidyl peptidase 4,先解决具体问题,确认实际溶解浓度和聚集情况，再做DPP4功能。,沃拉帕沙–DPP4的主要操作障碍是高预测疏水性，尚无直接阴性。,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL284,254,83,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
278,bazedoxifene,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,先解决具体问题,先确认纯母体工作液及RET域；直接作用与肥胖方向均需验证。,bazedoxifene–RET先核单体而非复方、可溶浓度及RET域，计算理化风险尚非实测失败。,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,32,58,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
279,hydroxychloroquine,TYK2 — Non-receptor tyrosine-protein kinase TYK2,先解决具体问题,先明确所测域及域匹配对照，SPR后验证相应细胞信号方向。,hydroxychloroquine–TYK2要先匹配JH1/JH2域，既有抗炎效应不能代替域特异结合。,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,230,268,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
280,perampanel,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,胆固醇产物读出合格再探索抑制/激活。,吡仑帕奈–CYP46A1应先确认活性体系和溶解性，其他CYP药代无否定效力。,PRMWGUBFXWROHD-UHFFFAOYSA-N__CHEMBL4523510,133,120,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
281,aripiprazole,MAOB — Amine oxidase [flavin-containing] B,先解决具体问题,先复核阴性近邻受测条件及MAOB酶活，使用aripiprazole实体而非lauroxil前药；有一致效应再SPR。,aripiprazole–MAOB需核较近阴性近邻条件及母药而非lauroxil前药，不能仅凭近邻阴性排除。,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,106,190,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
282,calcipotriene,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,先确认工作液和成熟羟化酶体系，有直接活性才升级。,calcipotriene–EGLN3需先核实际可溶浓度及活性羟化酶，计算logP不等于已证不溶。,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,130,141,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
283,imipenem,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,确认单一母药和测定期间稳定性后可探索。,亚胺培南–FAAH需防止西司他丁复方及降解影响母药归因。,ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243,95,162,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
284,meloxicam,DHFR — Dihydrofolate reductase,先解决具体问题,取回逐药表；未包含则仍可探索，包含则按实际端点分类。,美洛昔康是否在旧NSAID–DHFR实测研究尚未核实，需避免重复或误称新发现。,ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL202,193,97,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
285,crisaborole,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,纯化合物实际浓度达标，不用软膏制剂直接测试。,克立硼罗–FAAH官方水不溶描述使配液验证必要，含硼结构本身不证明或否定活性。,USZAGAREISWJDP-UHFFFAOYSA-N__CHEMBL2243,263,49,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
286,deutetrabenazine,UGCG — Ceramide glucosyltransferase,先解决具体问题,UGCG脂质产物及参考物先测通，实体与模型一致。,氘代丁苯那嗪–UGCG须固定氘代母体/代谢物，并确认膜脂功能体系。,MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2063,251,112,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
287,tazemetostat,DHFR — Dihydrofolate reductase,先解决具体问题,确认可溶浓度/聚集及DHFR纯酶读数，不靠类器官表型。,他泽司他DHFR文献命中属于甲氨蝶呤，另有较大分子及疏水性带来的实测条件问题。,NSQSAUGJQHDYNO-UHFFFAOYSA-N__CHEMBL202,149,356,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
288,zavegepant,INSR — Insulin receptor,先解决具体问题,明确INSR胞外/激酶域；有成熟对照体系才追加，功能方向单独判定。,zavegepant–INSR先明确胞外或激酶域，较大分子量本身不等于不可结合。,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,98,47,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
289,olmesartan,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,确认采购酸实体及EGLN3辅因子体系，已有体系时才追加探索。,olmesartan–EGLN3先核实际采购是否酸实体而非medoxomil前药，解决实体后仍可探索。,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,7,195,仅A在Top20,True,分清操作前提与证据不足；逐项确认后安排
290,atrasentan,ERBB2 — Receptor tyrosine-protein kinase erbB-2,先解决具体问题,核近邻实验物种构建浓度，解释后才决定投入；若做需明确ERBB2激酶域。,atrasentan–ERBB2的较近阴性近邻需要核原端点浓度；不能把邻居阴性直接归给母药。,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,341,175,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
291,colchicine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,先解决具体问题,先消歧疾病节点并核对FKBP1A的直接结合证据；如仍保留，采用FKBP1A配体竞争或功能读出辅助SPR。,colchicine–FKBP1A需消歧合并疾病节点及表格错行，不能把podophyllotoxin列转移；校正后母药仍可探索。,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,193,294,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
292,ivabradine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,参考物和产物读数测通，并比较11B2。,伊伐布雷定–CYP11B1先解决含血红素活性体系及电子供体，药代CYP资料不可替代。,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1908,257,40,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
293,methylnaltrexone,CA2 — Carbonic anhydrase 2,先解决具体问题,查邻居端点及浓度；CA2成熟平台可低成本核验。,甲基纳曲酮–CA2较近阴性邻居需回查，但没有母药本对实测否定。,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL205,51,59,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
294,raloxifene,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,先解决具体问题,先核工作液及RET激酶域，直接酶活/结合阳性才追加疾病验证。,raloxifene–RET需先保证工作液可测；对接和mRNA变化不是直接结合，不能据此上调也不能判阴性。,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,38,19,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
295,olopatadine,NR3C1 — Glucocorticoid receptor,先解决具体问题,取回逐受体表；据NR3C1覆盖和浓度决定复核。,奥洛他定旧42受体面板是否含GR尚未核实，当前既不能称已知阴性也不能称全新。,JBIMVDZLSHOPLA-LSCVHKIXSA-N__CHEMBL2034,1,14,A和B均在Top20,True,分清操作前提与证据不足；逐项确认后安排
296,amisulpride,CA2 — Carbonic anhydrase 2,先解决具体问题,核两个近邻身份端点浓度，含锌CA2活性与SPR一致才升级。,amisulpride–CA2阳阴近邻都较高且接近，需核两端点条件，不能仅报阳性或把邻居阴性当本药。,NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,43,47,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
297,ozanimod,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,先核EZH2/PRC2活性构建及参照，已有成熟体系才候补。,ozanimod–EZH2先落实PRC2/活性构建；原S1P机制不同不是不能测的理由。,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,313,258,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
298,aclidinium,PPARG — Peroxisome proliferator-activated receptor gamma,先解决具体问题,核实液相稳定性、单体身份和PPARG报告方向。,阿地溴铵–PPARG需要分清母体与水解产物，才能解释新受体信号。,ASMXXROZKSBQIH-VITNCHFBSA-N__CHEMBL235,267,74,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
299,enzalutamide,NTRK1 — High affinity nerve growth factor receptor,先解决具体问题,固定NTRK1构建，单药激酶作用后再解释癌种。,恩扎卢胺–NTRK1需要明确融合/野生型构建和疾病依赖对应。,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL2815,170,93,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
300,glycopyrronium,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,核实际盐及模型结构，在CYP26A1已有有效参照时才侦察。,glycopyrronium–CYP26A1应核盐形模型一致及P450参照，未检索到作用本身不排除。,ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,328,90,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
301,dolutegravir,MAPK8 — Mitogen-activated protein kinase 8,先解决具体问题,先核实检索命中的激酶补充表化合物身份，不将未知化合物的MAPK8结果归给本药；再决定酶学或SPR。,dolutegravir–MAPK8检索激酶补表化合物身份待核，先确认是否本药再决定重复测试。,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,47,185,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
