排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
292,P3 先解决具体问题,C384-210,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE,CTRL-011,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,参考物和产物读数测通，并比较11B2。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL1908,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N
293,P3 先解决具体问题,C384-292,methylnaltrexone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,查邻居端点及浓度；CA2成熟平台可低成本核验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JVLBPIPGETUEET-WIXLDOGYSA-O,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
294,P3 先解决具体问题,C384-120,raloxifene,Estrogen receptor; Estrogen receptor beta,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,STAUROSPORINE,CTRL-032,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核工作液及RET激酶域，直接酶活/结合阳性才追加疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL2041,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
295,P3 先解决具体问题,C384-270,olopatadine,Histamine H1 receptor,NR3C1 — Glucocorticoid receptor,PREDNISONE,CTRL-030,Kd,有Kd记录，待确认构建与SPR实测活性,先解决具体问题,取回逐受体表；据NR3C1覆盖和浓度决定复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JBIMVDZLSHOPLA-LSCVHKIXSA-N,CHEMBL2034,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
296,P3 先解决具体问题,C384-110,amisulpride,Dopamine receptors; D2 & D3; Serotonin (5-HT) receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核两个近邻身份端点浓度，含锌CA2活性与SPR一致才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NTJOBXMMWNYJFB-UHFFFAOYSA-N,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
297,P3 先解决具体问题,C384-039,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126,CTRL-042,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核EZH2/PRC2活性构建及参照，已有成熟体系才候补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XRVDGNKRPOAQTN-FQEVSTJZSA-N,CHEMBL2189110,CHEMBL3287735,FKSFKBQGSFSOSM-QFIPXVFZSA-N
298,P3 先解决具体问题,C384-216,aclidinium,Muscarinic acetylcholine receptor M3,PPARG — Peroxisome proliferator-activated receptor gamma,REVERSE TRIIODOTHYRONINE,CTRL-050,Kd,有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核实液相稳定性、单体身份和PPARG报告方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL235,CHEMBL1743304,HZCBWYNLGPIQRK-LBPRGKRZSA-N
299,P3 先解决具体问题,C384-332,enzalutamide,Androgen receptor,NTRK1 — High affinity nerve growth factor receptor,STAUROSPORINE,CTRL-061,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,固定NTRK1构建，单药激酶作用后再解释癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WXCXUHSOUPDCQV-UHFFFAOYSA-N,CHEMBL2815,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
300,P3 先解决具体问题,C384-042,glycopyrronium,Muscarinic acetylcholine receptor; Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE,CTRL-106,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,核实际盐及模型结构，在CYP26A1已有有效参照时才侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ANGKOCUUWGHLCE-HKUYNNGSSA-N,CHEMBL5141,CHEMBL459505,SNFYYXUGUBUECJ-UHFFFAOYSA-N
301,P3 先解决具体问题,C384-140,dolutegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,CTRL-047,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核实检索命中的激酶补充表化合物身份，不将未知化合物的MAPK8结果归给本药；再决定酶学或SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RHWKPHLQXYSBKR-BMIGLBTASA-N,CHEMBL2276,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
302,P3 先解决具体问题,C384-141,pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,"PDE3A — cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",研究化合物 CHEMBL4247714（无通用名称）,CTRL-051,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,核对监管完整离靶面板是否实际测试PDE3A，随后配套酶活和SPR验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL241,CHEMBL4247714,YOSSKNZHADPXJX-SNVBAGLBSA-N
303,P3 先解决具体问题,C384-229,vigabatrin,"4-aminobutyrate aminotransferase, mitochondrial",MMP8 — Neutrophil collagenase,CIPEMASTAT,CTRL-101,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,明确研究终点；若仅做结合侦察可保留，不宣称抗疟。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PJDFLNIOAUIZSL-UHFFFAOYSA-N,CHEMBL4588,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N
304,P3 先解决具体问题,C384-333,vardenafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B2/11B1选择性和参考物先确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SECKRCOLJRRGGV-UHFFFAOYSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
305,P3 先解决具体问题,C384-382,trametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2; Dual specificity mitogen-activated protein kinase kinase; MEK1/2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,人DHFR酶活、溶解与非特异信号合格再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
306,P3 先解决具体问题,C384-015,mesalamine,Cyclooxygenase; Peroxisome proliferator-activated receptor gamma; Polyunsaturated fatty acid 5-lipoxygenase,XDH — Xanthine dehydrogenase/oxidase,TOPIROXOSTAT,CTRL-012,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,按精确结构查5-ASA原始XO测量，明确XDH/XO状态和物种；先酶活再用匹配人蛋白确认结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KBOPZPXVLCULAV-UHFFFAOYSA-N,CHEMBL1929,CHEMBL1078685,UBVZQGOVTLIHLH-UHFFFAOYSA-N
307,P3 先解决具体问题,C384-231,rivaroxaban,Coagulation factor X,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS,CTRL-054,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先界定免疫目标；纯LCK探索可与疗效推断分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,CHEMBL258,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
308,P3 先解决具体问题,C384-365,selumetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,CTRL-035,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,UGCG特异糖脂产物及MEK/细胞毒性对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL2063,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N
309,P3 先解决具体问题,C384-016,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE,CTRL-106,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,先查42化合物筛查是否有本药及有效浓度；若无额外支持，只在CYP26A1对照已测通时追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL5141,CHEMBL459505,SNFYYXUGUBUECJ-UHFFFAOYSA-N
310,P3 先解决具体问题,C384-050,sufentanil,Mu-type opioid receptor,F12 — Coagulation factor XII,SEPIMOSTAT,CTRL-062,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,明确F12a活性构建和参照；只作脱靶侦察，不作溃疡治疗依据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GGCSSNBKKAUURC-UHFFFAOYSA-N,CHEMBL2821,CHEMBL114586,QMRJOIUGPCVZPH-UHFFFAOYSA-N
311,P3 先解决具体问题,C384-144,levamlodipine,Voltage-gated L-type calcium channel,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE,CTRL-055,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对论文受测立体实体和端点；若匹配则重审新颖性，同时做CA1/CA2选择性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL261,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
312,P3 先解决具体问题,C384-192,calcipotriene,Vitamin D3 receptor,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对纯calcipotriene而非复方，先AR/VDR竞争对比并测实际溶解度；阳性后用功能报告。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
313,P3 先解决具体问题,C384-233,norephinephrine,Adrenergic receptor,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对小分子实体、稳定性和成熟CTSC。,导出名按GSRS完整InChIKey对应实体显示；原冻结名称另列，配对与审查暂停条件不变。,SFLSHLFXELFNJZ-QMMMGPOBSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
314,P3 先解决具体问题,C384-235,brexpiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",研究化合物 CHEMBL2180945（无通用名称）,CTRL-004,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先确认疾病获益及暴露假设；二元结合侦察可独立开展。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,CHEMBL1827,CHEMBL2180945,FJJLJIBQQGUEHI-UHFFFAOYSA-N
315,P3 先解决具体问题,C384-171,aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,PTK2 — Focal adhesion kinase 1,STAUROSPORINE,CTRL-058,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先做FAK酶学/结合竞争，查明构建；若仅细胞黏附或信号改变不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL2695,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
316,P3 先解决具体问题,C384-219,ivosidenib,Isocitrate dehydrogenase [NADP] cytoplasmic,AKT1 — RAC-alpha serine/threonine-protein kinase,IPATASERTIB,CTRL-096,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,实测可用浓度与非特异信号，使用明确状态AKT1。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WIJZXSAJMHAVGX-DHLKQENFSA-N,CHEMBL4282,CHEMBL2177390,GRZXWCHAXNAUHY-NSISKUIASA-N
317,P3 先解决具体问题,C384-340,afatinib,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2产物及非特异反应对照，疾病目标明确。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
318,P3 先解决具体问题,C384-341,baclofen,GABA-B receptor,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,功能体系先测通，明确作用方向后再评癫痫。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KPYSYYIEGFHWSV-UHFFFAOYSA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
319,P3 先解决具体问题,C384-342,clobazam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,固定待测化学种并确认CYP46A1功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CXOXHMZGEKVPMT-UHFFFAOYSA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
320,P3 先解决具体问题,C384-366,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认测试期间母药浓度，ACE功能与参考物校准。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
321,P3 先解决具体问题,C384-017,ozenoxacin,DNA gyrase; DNA topoisomerase IV; Topoisomerase IV,TYK2 — Non-receptor tyrosine-protein kinase TYK2,STAUROSPORINE,CTRL-082,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核TYK2预测位点与蛋白域，已有匹配体系才侦察；直接作用阳性后另查给药暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XPIJWUTXQAGSLK-UHFFFAOYSA-N,CHEMBL3553,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
322,P3 先解决具体问题,C384-239,dexrazoxane,DNA topoisomerase II; Iron,MMP7 — Matrilysin,PRINOMASTAT,CTRL-091,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,核对化学种、金属条件和MMP反筛后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL4073,CHEMBL75094,YKPYIPVDTNNYCN-INIZCTEOSA-N
323,P3 先解决具体问题,C384-278,rolapitant,Substance-P receptor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,实测溶解浓度及PDE9A参考物，合格即可小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FIVSJYGQAIEMOC-ZGNKEGEESA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
324,P3 先解决具体问题,C384-112,glasdegib,Protein smoothened,FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,CTRL-020,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,优先核原始FLT3 panel的药物身份和突变；确认已有直接记录则改为机制确认而非全新关系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL1974,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
325,P3 先解决具体问题,C384-220,bempedoic acid,ATP-citrate synthase,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,固定母体身份与实际溶解浓度，再测MMP12。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
326,P3 先解决具体问题,C384-297,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WORTMANNIN,CTRL-089,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,匹配PI3Kα复合体系后测母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UVSMNLNDYGZFPF-UHFFFAOYSA-N,CHEMBL4005,CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N
327,P3 先解决具体问题,C384-300,relugolix,Gonadotropin-releasing hormone receptor,KDR — Vascular endothelial growth factor receptor 2,LINIFANIB,CTRL-060,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,KDR域活性/溶解性合格；疾病意义独立论证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AOMXMOCNKJTRQP-UHFFFAOYSA-N,CHEMBL279,CHEMBL223360,MPVGZUGXCQEXTM-UHFFFAOYSA-N
328,P3 先解决具体问题,C384-343,oliceridine,Mu-type opioid receptor,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2产物、血红素和疾病目标先明确。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DMNOVGJWPASQDL-OAQYLSRUSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
329,P3 先解决具体问题,C384-344,diazepam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,取回逐药浓度和激活/抑制端点，未测仍可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
330,P3 先解决具体问题,C384-345,dimethyl fumarate,Kelch-like ECH-associated protein 1,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN,CTRL-090,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,核对实物、稳定性和纯HMGCR功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LDCRTTXIJACKKU-ONEGZZNKSA-N,CHEMBL402,CHEMBL1487,XUKUURHRXDUEBC-KAYWLYCHSA-N
331,P3 先解决具体问题,C384-346,linagliptin,Dipeptidyl peptidase 4,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",研究化合物 CHEMBL2180945（无通用名称）,CTRL-004,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,将配对机制侦察与妊娠转化分开，先纯PDE5功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LTXREWYXXSTFRX-QGZVFWFLSA-N,CHEMBL1827,CHEMBL2180945,FJJLJIBQQGUEHI-UHFFFAOYSA-N
332,P3 先解决具体问题,C384-347,colchicine,Tubulin,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,CTRL-035,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,UGCG专一产物与微管对照，成熟功能体系先确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IAKHMKGGTNLKSZ-INIZCTEOSA-N,CHEMBL2063,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N
333,P3 先解决具体问题,C384-384,umeclidinium,Muscarinic acetylcholine receptor M3,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,模型/实物一致，11B1/11B2功能及可用浓度确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FVTWTVQXNAJTQP-UHFFFAOYSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
334,P3 先解决具体问题,C384-172,brexanolone,GABA-A receptor; anion channel,ESR1 — Estrogen receptor,研究化合物 CHEMBL377849（无通用名称）,CTRL-034,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先核实监管完整ERα面板与受测条件，确认样品可溶性；ERα竞争效应成立后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AURFZBICLPNKBZ-SYBPFIFISA-N,CHEMBL206,CHEMBL377849,ANMCTAWGJSYPPA-LPYMAVHISA-N
335,P3 先解决具体问题,C384-175,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,PRKCB — Protein kinase C beta type,ENZASTAURIN,CTRL-071,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对纯母药身份并先做PKCβ活性，若只有免疫细胞下游变化则继续后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XRVDGNKRPOAQTN-FQEVSTJZSA-N,CHEMBL3045,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N
336,P3 先解决具体问题,C384-274,chloroprocaine,Sodium channel alpha subunit,ACHE — Acetylcholinesterase,HUPERZINE A,CTRL-043,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,并测AChE/BChE及母药稳定性，区分底物与抑制剂。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VDANGULDQQJODZ-UHFFFAOYSA-N,CHEMBL220,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N
337,P3 先解决具体问题,C384-349,cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,匹配底物参考物后可探索母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
338,P3 先解决具体问题,C384-020,etonogestrel,Progesterone receptor,CYP19A1 — Aromatase,ANASTROZOLE,CTRL-022,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,核对含血红素构建并区分底物代谢与抑制；先取得直接酶证据，再决定疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL1978,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N
339,P3 先解决具体问题,C384-056,indacaterol,Beta-2 adrenergic receptor,TYK2 — Non-receptor tyrosine-protein kinase TYK2,STAUROSPORINE,CTRL-082,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核催化域/假激酶域，避免以不匹配构建浪费测试。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL3553,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
340,P3 先解决具体问题,C384-076,umeclidinium,Muscarinic acetylcholine receptor M3,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先核可溶工作液和活性羟化酶，已有体系才候补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FVTWTVQXNAJTQP-UHFFFAOYSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
341,P3 先解决具体问题,C384-177,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,MAPKAPK2 — MAP kinase-activated protein kinase 2,STAUROSPORINE,CTRL-044,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对MK2专用酶学与原监管面板是否覆盖该酶，得到重复效应再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL2208,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
342,P3 先解决具体问题,C384-178,copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,CTRL-111,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,取得面板具体靶点/浓度，确认TRKC构建与融合背景；有明确反证则停，缺失则小额酶学。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PZBCKZWLPGJMAO-UHFFFAOYSA-N,CHEMBL5608,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
